route,carrier_name,window,flights,exp_delay,delayed
JFK-LAX,Frontier Airlines,morning,261,19.74131274131274,0.27413127413127414
JFK-LAX,JetBlue Airways,morning,1590,9.742443324937028,0.1561712846347607
JFK-LAX,JetBlue Airways,afternoon,722,16.32825484764543,0.19390581717451524
JFK-LAX,JetBlue Airways,evening,1099,25.729014598540147,0.3293795620437956
LAS-LAX,American Airlines,morning,575,21.215652173913043,0.1808695652173913
LAS-LAX,American Airlines,afternoon,232,32.0301724137931,0.3017241379310345
LAS-LAX,American Airlines,evening,355,23.504225352112677,0.27605633802816903
LAS-LAX,Delta Air Lines,morning,731,6.454172366621067,0.08755129958960328
LAS-LAX,Delta Air Lines,afternoon,369,14.08130081300813,0.19241192411924118
LAS-LAX,Delta Air Lines,evening,626,19.661341853035143,0.2539936102236422
LAS-LAX,Frontier Airlines,morning,213,9.211267605633802,0.20657276995305165
LAS-LAX,Frontier Airlines,evening,267,13.636704119850187,0.2247191011235955
LAS-LAX,Southwest Airlines,morning,878,6.969248291571754,0.1548974943052392
LAS-LAX,Southwest Airlines,afternoon,657,18.164383561643834,0.319634703196347
LAS-LAX,Southwest Airlines,evening,852,22.71361502347418,0.4284037558685446
LAS-LAX,Spirit Airlines,morning,331,5.256797583081571,0.09063444108761329
LAS-LAX,Spirit Airlines,afternoon,253,6.897233201581027,0.09486166007905138
LAS-LAX,Spirit Airlines,evening,299,9.906354515050166,0.1705685618729097
LAS-LAX,United Airlines,morning,827,4.79081015719468,0.0773881499395405
LAS-LAX,United Airlines,afternoon,330,9.94848484848485,0.15454545454545454
LAS-LAX,United Airlines,evening,345,16.81159420289855,0.263768115942029
LAX-DEN,Delta Air Lines,morning,242,8.87603305785124,0.11570247933884298
LAX-DEN,Delta Air Lines,afternoon,233,26.317391304347826,0.36086956521739133
LAX-DEN,Delta Air Lines,evening,271,14.522222222222222,0.2
LAX-DEN,Frontier Airlines,morning,455,12.262114537444933,0.12334801762114538
LAX-DEN,SkyWest Airlines,morning,462,6.863636363636363,0.12987012987012986
LAX-DEN,SkyWest Airlines,afternoon,561,22.06654676258993,0.3057553956834532
LAX-DEN,SkyWest Airlines,evening,217,14.566820276497696,0.1935483870967742
LAX-DEN,Southwest Airlines,morning,937,7.46096256684492,0.11978609625668449
LAX-DEN,Southwest Airlines,afternoon,684,26.336270190895743,0.37298091042584436
LAX-DEN,Southwest Airlines,evening,309,19.02588996763754,0.36245954692556637
LAX-DEN,United Airlines,morning,1434,6.865921787709497,0.09706703910614525
LAX-DEN,United Airlines,afternoon,1116,17.97289972899729,0.24661246612466126
LAX-DEN,United Airlines,evening,527,8.825426944971538,0.1366223908918406
LAX-JFK,American Airlines,morning,1719,32.59706744868035,0.22756598240469209
LAX-JFK,American Airlines,afternoon,759,25.40318302387268,0.3116710875331565
LAX-JFK,American Airlines,evening,670,16.508955223880598,0.17164179104477612
LAX-JFK,Delta Air Lines,morning,1730,20.28870779976717,0.20779976717112922
LAX-JFK,Delta Air Lines,afternoon,699,23.639367816091955,0.2514367816091954
LAX-JFK,Delta Air Lines,evening,866,11.341040462427745,0.15606936416184972
LAX-JFK,Frontier Airlines,evening,262,19.93076923076923,0.2653846153846154
LAX-JFK,JetBlue Airways,morning,1199,12.284272497897392,0.17493692178301093
LAX-JFK,JetBlue Airways,afternoon,1259,24.26926131850675,0.2891183478951549
LAX-JFK,JetBlue Airways,evening,938,14.632196162046908,0.19829424307036247
LAX-LAS,American Airlines,morning,384,24.002604166666668,0.2552083333333333
LAX-LAS,American Airlines,afternoon,256,41.43359375,0.35546875
LAX-LAS,American Airlines,evening,526,31.53802281368821,0.34600760456273766
LAX-LAS,Delta Air Lines,morning,705,7.163120567375887,0.10780141843971631
LAX-LAS,Delta Air Lines,afternoon,393,22.61832061068702,0.3486005089058524
LAX-LAS,Delta Air Lines,evening,628,15.73407643312102,0.25477707006369427
LAX-LAS,Frontier Airlines,afternoon,352,26.951704545454547,0.32386363636363635
LAX-LAS,Southwest Airlines,morning,1017,5.91937069813176,0.09636184857423795
LAX-LAS,Southwest Airlines,afternoon,573,21.705061082024432,0.3699825479930192
LAX-LAS,Southwest Airlines,evening,776,20.75257731958763,0.36726804123711343
LAX-LAS,Spirit Airlines,morning,434,6.580645161290323,0.08755760368663594
LAX-LAS,Spirit Airlines,evening,288,15.635416666666666,0.22916666666666666
LAX-LAS,United Airlines,morning,460,6.947826086956522,0.11304347826086956
LAX-LAS,United Airlines,afternoon,387,14.669250645994833,0.2248062015503876
LAX-LAS,United Airlines,evening,657,9.838660578386605,0.1628614916286149
LAX-SFO,American Airlines,evening,404,25.88089330024814,0.369727047146402
LAX-SFO,Delta Air Lines,morning,1035,12.735265700483092,0.23671497584541062
LAX-SFO,Delta Air Lines,afternoon,707,18.763790664780764,0.28005657708628007
LAX-SFO,Delta Air Lines,evening,606,14.818481848184819,0.2854785478547855
LAX-SFO,Frontier Airlines,evening,255,35.83529411764706,0.42745098039215684
LAX-SFO,SkyWest Airlines,morning,1129,12.020408163265307,0.18456078083407276
LAX-SFO,SkyWest Airlines,afternoon,603,12.553897180762853,0.18076285240464346
LAX-SFO,SkyWest Airlines,evening,963,15.174817898022892,0.25806451612903225
LAX-SFO,Southwest Airlines,morning,635,11.266141732283465,0.2015748031496063
LAX-SFO,Southwest Airlines,afternoon,258,17.209302325581394,0.3062015503875969
LAX-SFO,Southwest Airlines,evening,444,31.98873873873874,0.481981981981982
LAX-SFO,United Airlines,morning,1055,12.906161137440758,0.24265402843601896
LAX-SFO,United Airlines,afternoon,901,13.49056603773585,0.19089900110987792
LAX-SFO,United Airlines,evening,1283,18.37879968823071,0.2930631332813718
LGA-ATL,Delta Air Lines,morning,2120,8.693434104865375,0.12848370335380255
LGA-ATL,Delta Air Lines,afternoon,1500,19.179692718770877,0.2511690046760187
LGA-ATL,Delta Air Lines,evening,1171,30.63175965665236,0.3261802575107296
LGA-ATL,Frontier Airlines,morning,474,36.15498938428875,0.3524416135881104
LGA-ATL,Republic Airways,morning,518,12.25,0.19767441860465115
LGA-ATL,Republic Airways,afternoon,351,16.402857142857144,0.24285714285714285
LGA-ATL,Southwest Airlines,morning,401,14.210526315789474,0.12531328320802004
LGA-ATL,Southwest Airlines,afternoon,496,27.87878787878788,0.3414141414141414
LGA-ATL,Southwest Airlines,evening,353,26.107648725212464,0.35694050991501414
LGA-ORD,American Airlines,morning,1181,20.910941475826974,0.1594571670907549
LGA-ORD,American Airlines,afternoon,981,36.607361963190186,0.37423312883435583
LGA-ORD,American Airlines,evening,634,54.253565768621236,0.5816164817749604
LGA-ORD,Delta Air Lines,morning,911,15.468646864686468,0.18921892189218922
LGA-ORD,Delta Air Lines,afternoon,516,37.09055118110236,0.3779527559055118
LGA-ORD,Delta Air Lines,evening,708,48.76203966005666,0.4603399433427762
LGA-ORD,Republic Airways,morning,517,14.61747572815534,0.2621359223300971
LGA-ORD,Republic Airways,afternoon,283,19.180212014134277,0.303886925795053
