route,flights,delayed,severity,cancelled,cascade,distance,z_delayed,z_severity,z_cancelled,z_cascade,score,origin,dest,origin_lat,origin_lon,dest_lat,dest_lon
SEA-CLT,1296,0.11014948859166011,15.839496459480724,0.014660493827160493,46.49285714285714,2279.0,-2.056257585406991,-0.30717156617015023,-0.30619149652588923,1.7285616354280258,-0.23526475316875117,SEA,CLT,47.447943,-122.310276,35.2140007019043,-80.94309997558594
SEA-DCA,1094,0.21570482497634816,15.039735099337749,0.016453382084095063,6.995614035087719,2329.0,-0.1916129485411682,-0.4378666113839487,-0.17225694370604872,-2.0921043667438703,-0.723460217593759,SEA,DCA,47.447943,-122.310276,38.8521,-77.037697
SEA-DEN,6355,0.25211830535571544,16.96706634692246,0.00833988985051141,18.637920101458466,1024.0,0.4516345008493247,-0.12290685326307726,-0.7783610608528949,-0.9659153096166784,-0.3538871807208315,SEA,DEN,47.447943,-122.310276,39.860027,-104.673792
SEA-DFW,5232,0.24911452184179456,18.854584809130262,0.02198012232415902,25.923380726698262,1660.0,0.39857239133052025,0.1855467968557866,0.24060843133410795,-0.26117468645302594,0.14088823326684718,SEA,DFW,47.447943,-122.310276,32.896801,-97.038002
SEA-DTW,2065,0.1665034280117532,9.68560235063663,0.008232445520581114,16.7,1927.0,-1.0607601098176749,-1.3128258886702062,-0.7863874998830919,-1.1533751134912282,-1.0783371529655503,SEA,DTW,47.447943,-122.310276,42.21377,-83.353786
SEA-EUG,2078,0.17884990253411306,9.896198830409357,0.01203079884504331,16.130790190735695,234.0,-0.842658512202394,-1.2784107270764493,-0.5026382188021771,-1.2084361859925412,-0.9580359110183904,SEA,EUG,47.447943,-122.310276,44.124599,-123.211998
SEA-EWR,2047,0.23623623623623624,19.035535535535537,0.019540791402051783,12.866525423728813,2402.0,0.17107630246471806,0.21511732194939603,0.058382520171834595,-1.5241965894050389,-0.26990511120477256,SEA,EWR,47.447943,-122.310276,40.6894,-74.170545
SEA-FAI,2363,0.25578406169665807,13.941730934018851,0.011002962336013541,15.447236180904522,1533.0,0.516390420685388,-0.6172997663011079,-0.5794209310969076,-1.2745580557869551,-0.4887220831248957,SEA,FAI,47.447943,-122.310276,64.815102,-147.856003
SEA-FAT,1039,0.18500486854917234,10.5491723466407,0.010587102983638113,21.205263157894738,748.0,-0.7339304766225981,-1.1717033922634597,-0.610486970032085,-0.7175698667493343,-0.8084226764168693,SEA,FAT,47.447943,-122.310276,36.775767,-119.718018
SEA-GEG,5380,0.196656649135988,10.894440270473329,0.009665427509293681,16.05157593123209,224.0,-0.5281007106886157,-1.1152805526952758,-0.6793391096029009,-1.2160987772105372,-0.8847047875493323,SEA,GEG,47.447943,-122.310276,47.6199,-117.533997
